current,left,current_abb,left_abb,count,year
Alaska,South Dakota,AK,SD,831,Total 2016-2019
Alaska,Tennessee,AK,TN,1259,Total 2016-2019
Alaska,Texas,AK,TX,10494,Total 2016-2019
Alaska,Utah,AK,UT,2692,Total 2016-2019
Alaska,Vermont,AK,VT,135,Total 2016-2019
Alaska,Virginia,AK,VA,3692,Total 2016-2019
Alaska,Washington,AK,WA,12534,Total 2016-2019
Alaska,West Virginia,AK,WV,355,Total 2016-2019
Alaska,Wisconsin,AK,WI,3328,Total 2016-2019
Alaska,Wyoming,AK,WY,731,Total 2016-2019
Arizona,Alabama,AZ,AL,6782,Total 2016-2019
Arizona,Alaska,AZ,AK,8505,Total 2016-2019
Arizona,Arizona,AZ,AZ,NA,Total 2016-2019
Arizona,Arkansas,AZ,AR,5477,Total 2016-2019
Arizona,California,AZ,CA,252218,Total 2016-2019
Arizona,Colorado,AZ,CO,50906,Total 2016-2019
Arizona,Connecticut,AZ,CT,3724,Total 2016-2019
Arizona,Delaware,AZ,DE,1932,Total 2016-2019
Arizona,District of Columbia,AZ,DC,903,Total 2016-2019
Arizona,Florida,AZ,FL,31887,Total 2016-2019
Arizona,Foreign Country,AZ,OR,135161,Total 2016-2019
Arizona,Foreign Country4,AZ,OR,44793,Total 2016-2019
Arizona,Georgia,AZ,GA,16616,Total 2016-2019
Arizona,Hawaii,AZ,HI,10523,Total 2016-2019
Arizona,Idaho,AZ,ID,12460,Total 2016-2019
Arizona,Illinois,AZ,IL,50644,Total 2016-2019
Arizona,Indiana,AZ,IN,14535,Total 2016-2019
Arizona,Iowa,AZ,IA,12103,Total 2016-2019
Arizona,Kansas,AZ,KS,13433,Total 2016-2019
Arizona,Kentucky,AZ,KY,4461,Total 2016-2019
Arizona,Louisiana,AZ,LA,5919,Total 2016-2019
Arizona,Maine,AZ,ME,1120,Total 2016-2019
Arizona,Maryland,AZ,MD,7435,Total 2016-2019
Arizona,Massachusetts,AZ,MA,10454,Total 2016-2019
Arizona,Michigan,AZ,MI,24567,Total 2016-2019
Arizona,Minnesota,AZ,MN,24628,Total 2016-2019
Arizona,Mississippi,AZ,MS,4002,Total 2016-2019
Arizona,Missouri,AZ,MO,15627,Total 2016-2019
Arizona,Montana,AZ,MT,7905,Total 2016-2019
Arizona,Nebraska,AZ,NE,7152,Total 2016-2019
Arizona,Nevada,AZ,NV,30568,Total 2016-2019
Arizona,New Hampshire,AZ,NH,2694,Total 2016-2019
Arizona,New Jersey,AZ,NJ,15605,Total 2016-2019
Arizona,New Mexico,AZ,NM,30025,Total 2016-2019
Arizona,New York,AZ,NY,20063,Total 2016-2019
Arizona,North Carolina,AZ,NC,19659,Total 2016-2019
Arizona,North Dakota,AZ,ND,7568,Total 2016-2019
Arizona,Ohio,AZ,OH,20434,Total 2016-2019
Arizona,Oklahoma,AZ,OK,16922,Total 2016-2019
Arizona,Oregon,AZ,OR,40656,Total 2016-2019
Arizona,Pennsylvania,AZ,PA,19581,Total 2016-2019
Arizona,Puerto Rico,AZ,NA,4159,Total 2016-2019
Arizona,Rhode Island,AZ,RI,742,Total 2016-2019
Arizona,South Carolina,AZ,SC,5538,Total 2016-2019
Arizona,South Dakota,AZ,SD,5768,Total 2016-2019
Arizona,Tennessee,AZ,TN,7572,Total 2016-2019
Arizona,Texas,AZ,TX,65443,Total 2016-2019
Arizona,Utah,AZ,UT,33318,Total 2016-2019
Arizona,Vermont,AZ,VT,1612,Total 2016-2019
Arizona,Virginia,AZ,VA,21195,Total 2016-2019
Arizona,Washington,AZ,WA,63485,Total 2016-2019
Arizona,West Virginia,AZ,WV,2003,Total 2016-2019
Arizona,Wisconsin,AZ,WI,22109,Total 2016-2019
Arizona,Wyoming,AZ,WY,3515,Total 2016-2019
Arkansas,Alabama,AR,AL,3705,Total 2016-2019
Arkansas,Alaska,AR,AK,855,Total 2016-2019
Arkansas,Arizona,AR,AZ,3190,Total 2016-2019
Arkansas,Arkansas,AR,AR,NA,Total 2016-2019
Arkansas,California,AR,CA,18055,Total 2016-2019
Arkansas,Colorado,AR,CO,10846,Total 2016-2019
Arkansas,Connecticut,AR,CT,432,Total 2016-2019
Arkansas,Delaware,AR,DE,126,Total 2016-2019
Arkansas,District of Columbia,AR,DC,364,Total 2016-2019
Arkansas,Florida,AR,FL,8960,Total 2016-2019
Arkansas,Foreign Country,AR,OR,23038,Total 2016-2019
Arkansas,Foreign Country4,AR,OR,8385,Total 2016-2019
Arkansas,Georgia,AR,GA,6769,Total 2016-2019
Arkansas,Hawaii,AR,HI,827,Total 2016-2019
Arkansas,Idaho,AR,ID,739,Total 2016-2019
Arkansas,Illinois,AR,IL,9513,Total 2016-2019
Arkansas,Indiana,AR,IN,3824,Total 2016-2019
Arkansas,Iowa,AR,IA,2084,Total 2016-2019
Arkansas,Kansas,AR,KS,5211,Total 2016-2019
Arkansas,Kentucky,AR,KY,3674,Total 2016-2019
Arkansas,Louisiana,AR,LA,12797,Total 2016-2019
Arkansas,Maine,AR,ME,244,Total 2016-2019
Arkansas,Maryland,AR,MD,2749,Total 2016-2019
Arkansas,Massachusetts,AR,MA,635,Total 2016-2019
Arkansas,Michigan,AR,MI,3293,Total 2016-2019
Arkansas,Minnesota,AR,MN,2595,Total 2016-2019
Arkansas,Mississippi,AR,MS,12305,Total 2016-2019
Arkansas,Missouri,AR,MO,27438,Total 2016-2019
Arkansas,Montana,AR,MT,304,Total 2016-2019
Arkansas,Nebraska,AR,NE,2342,Total 2016-2019
Arkansas,Nevada,AR,NV,2679,Total 2016-2019
Arkansas,New Hampshire,AR,NH,234,Total 2016-2019
Arkansas,New Jersey,AR,NJ,1306,Total 2016-2019
Arkansas,New Mexico,AR,NM,853,Total 2016-2019
Arkansas,New York,AR,NY,1654,Total 2016-2019
Arkansas,North Carolina,AR,NC,3695,Total 2016-2019
Arkansas,North Dakota,AR,ND,391,Total 2016-2019
Arkansas,Ohio,AR,OH,1657,Total 2016-2019
Arkansas,Oklahoma,AR,OK,27943,Total 2016-2019
Arkansas,Oregon,AR,OR,1893,Total 2016-2019
Arkansas,Pennsylvania,AR,PA,5178,Total 2016-2019
Arkansas,Puerto Rico,AR,NA,3425,Total 2016-2019
Arkansas,Rhode Island,AR,RI,0,Total 2016-2019
Arkansas,South Carolina,AR,SC,1121,Total 2016-2019
Arkansas,South Dakota,AR,SD,146,Total 2016-2019
Arkansas,Tennessee,AR,TN,16747,Total 2016-2019
Arkansas,Texas,AR,TX,57636,Total 2016-2019
Arkansas,Utah,AR,UT,2698,Total 2016-2019
